Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Reservoir period,Lithology,Thickness (gross average ft),Thickness (net pay average ft),Porosity,Permeability
CASHIRIARI,VIIVIAN,,,,COMPRESSION,,,PLUSPETROL,ONSHORE,GAS-CONDENSATE,UNDEVELOPED,THRUST,6150,CRETACEOUS,SANDSTONE,245.0,210.0,13.0,1000.0
MARKOVO,PARFENOV,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,COMPRESSION/EVAPORITE,57.4375,107.3058,VOSTSIBNEFTEGAZGEOLOGIYA,ONSHORE,GAS-CONDENSATE,DEVELOPING,RIFT/SALT,8596,PROTEROZOIC,SANDSTONE,172.0,25.0,9.0,152.0
EAST CROSSFIELD,WABAMUN (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,51.4001,-114.0265,BP AND OTHERS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,7700,DEVONIAN,DOLOMITE,100.0,67.6,6.1,5.2
ERSKINE,PUFFIN (ERSKINE SANDSTONE),UK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION,57.0556,2.0694,CHEVRON,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,14700,JURASSIC,SHALY SANDSTONE,220.0,210.0,23.0,10.0
QUIRIQUIRE,QUIRIQUIRE,VENEZUELA,LATIN AMERICA,EASTERN VENEZUELA,COMPRESSION/EXTENSION/LINKED/EROSION,10.0,-63.1667,REPSOL YPF /MAXUS,ONSHORE,OIL,REJUVENATING,FORELAND/THRUST,1613,NEOGENE,SANDSTONE,1600.0,230.0,20.0,450.0
LITTLE KNIFE,MISSION CANYON (MADISON),USA,NORTH AMERICA,WILLISTON,COMPRESSION,47.2895,-103.0985,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,9673,CARBONIFEROUS,DOLOMITE,465.0,24.0,14.0,30.0
ORENBURG,UNNAMED,,,,COMPRESSION/EVAPORITE,,,ORENBURGGAZPROM,ONSHORE,GAS,UNKNOWN,SUB-SALT/FORELAND,4232,CARBONIFEROUS-PERMIAN,LIMESTONE,1360.0,563.0,11.0,2.0
ABU MADI-EL QARA,ABU MADI (LEVEL II),EGYPT,AFRICA,NILE DELTA,STRIKE-SLIP/TRANSTENSION/SHALE/EVAPORITE/BASEMENT-I,31.4382,31.3616,IEOC,ONSHORE,GAS,DECLINING PRODUCTION,WRENCH/DELTA,9843,NEOGENE,THINLY-BEDDED SANDSTONE,115.0,66.0,22.0,200.0
EL BORMA,KIRCHAOU,TUNISIA /ALGERIA,AFRICA,GHADAMES,COMPRESSION/EXTENSION/EROSION/EVAPORITE,31.65,9.18,SITEP /SONATRACH,ONSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,9022,TRIASSIC,SANDSTONE,353.0,190.0,17.0,500.0
ASAB,THAMAMA ZONE B-C,UAE,MIDDLE EAST,RUB AL KHALI,COMPRESSION/EVAPORITE/EXTENSION/LINKED,23.298,54.2216,ADCO,ONSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,7850,CRETACEOUS,LIMESTONE,274.0,250.0,30.0,20.0
CAROLINE,CARDIUM (E POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.9278,-114.5405,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7975,CRETACEOUS,SANDSTONE,300.0,7.0,11.0,20.0
ORIBI,14A SEQUENCE,SOUTH AFRICA,AFRICA,BREDASDORP,EXTENSION,-35.233000000000004,21.51,PETROSA,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT/PASSIVE MARGIN,7306,CRETACEOUS,SANDSTONE,115.0,98.0,18.0,500.0
DAN,CHALK GROUP (TOR-EKOFISK),DENMARK,EUROPE,NORTH SEA CENTRAL,INVERSION/COMPRESSION/EXTENSION/EVAPORITE,55.4696,5.13375,MAERSK,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/INVERSION/RIFT,5560,CRETACEOUS-PALEOGENE,CHALK,500.0,160.0,28.0,1.75
WEYBURN,CHARLES (MIDALE BEDS),CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,49.5354,-103.7584,ENCANA,ONSHORE,OIL,SECOND PLATEAU PRODUTION,INTRACRATONIC,4300,CARBONIFEROUS,DOLOMITE,82.0,33.0,15.0,10.0
CHATEAURENARD,CHATEAURENARD,FRANCE,EUROPE,PARIS,EXTENSION,47.9903,2.9619,MADISON /CHART,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1860,CRETACEOUS,SANDSTONE,28.0,15.0,27.0,1000.0
ANTRIM SHALE,ANTRIM SHALE (NORWOOD-LACHINE),USA,NORTH AMERICA,MICHIGAN,STRIKE-SLIP/TRANSPRESSION,44.95399999999999,-84.6603,NUMEROUS,ONSHORE,GAS,PLATEAU PRODUCTION,INTRACRATONIC,500,DEVONIAN,SHALE,100.0,80.0,4.0,10.0
IDD EL SHARGI NORTH DOME,SHUAIBA,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY/EVAPORITE/COMPRESSION,25.5,52.4,OCCIDENTAL,OFFSHORE,OIL,MATURE PRODUCTION,SALT/FORELAND,4381,CRETACEOUS,CHALKY LIMESTONE,328.0,256.0,25.0,3.0
NEWBURG,CHARLES,USA,NORTH AMERICA,WILLISTON,COMPRESSION,48.7502,-100.9196,AMERADA HESS,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,3310,CARBONIFEROUS,DOLOMITIC LIMESTONE,120.0,17.8,10.0,2.6
ALABAMA FERRY,UPPER GLEN ROSE D ZONE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,31.2143,-95.7981,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,PASSIVE MARGIN,8700,CRETACEOUS,LIMESTONE,95.0,15.0,12.0,20.0
CARMOPOLIS,CARMOPOLIS (MURIBECA),BRAZIL,LATIN AMERICA,SERGIPE-ALAGOAS,EXTENSION/EVAPORITE/GRAVITY,-10.6588,-36.9488,PETROBRAS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,1788,CRETACEOUS,CONGLOMERATE,380.0,350.0,15.0,60.0
LAOJUNMIAO,BAIYANGHE (JIANQUANZI L SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION/EROSION/EXTENSION/LINKED,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,THRUST,1362,PALEOGENE,SANDSTONE,180.0,39.0,23.0,619.0
YANGSANMU,GUANTAO-MINGHUAZHEN,CHINA,FAR EAST,BOHAI,EXTENSION,38.37,117.36,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,RIFT,3898,NEOGENE,SANDSTONE,2615.0,66.0,31.0,1475.0
KITTY,MUDDY,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.3344,-105.6783,DEVON ENERGY AND OTHERS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,8650,CRETACEOUS,SHALY SANDSTONE,80.0,12.0,10.0,15.0
SNAPPER,LATROBE (N-1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.2008,148.0136,EXXONMOBIL /BHP BILLITON,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,INVERSION/RIFT,3682,PALEOGENE,SANDSTONE,820.0,394.0,24.0,2000.0
PROVOST,VIKING (C POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,52.2022,-110.3508,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2950,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,70.0,4.0,25.0,170.0
RAVEN CREEK,UPPER MINNELUSA (B SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.1497,-105.1171,CITATION OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,8278,PERMIAN,SANDSTONE,100.0,37.0,12.0,50.0
EAST TEXAS,WOODBINE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,32.1853,-94.9257,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,3500,CRETACEOUS,SANDSTONE,51.0,37.0,25.0,2098.0
DELTA SOUTH,AGBADA (G2 SAND),NIGERIA,AFRICA,NIGER DELTA,GRAVITY/EXTENSION/SHALE,5.6139,5.1018,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,7985,NEOGENE,SANDSTONE,66.0,50.0,28.0,2000.0
SOUTH COWDEN,GRAYBURG,USA,,,COMPRESSION,31.749,-102.443,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,4100,PERMIAN,DOLOMITE,400.0,90.0,8.8,15.0
LUGINETS,TYUMEN-NAUNAK,RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,58.1,78.5167,TOMSKNEFT (YUKOS),ONSHORE,OIL,REJUVENATING,INTRACRATONIC,7610,JURASSIC,SANDSTONE,300.0,200.0,17.0,20.0
LAOJUNMIAO,BAIYANGHE (JIANQUANZI M SAND),CHINA,FAR EAST,JIUQUAN,COMPRESSION/EROSION/EXTENSION/LINKED,39.7658,97.5663,PETROCHINA,ONSHORE,OIL,MATURE PRODUCTION,THRUST,1532,PALEOGENE,SANDSTONE,210.0,82.0,17.8,24.0
MOXA ARCH-LA BARGE,FRONTIER (TIP TOP FIELD),USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION/EROSION,41.6119,-110.2,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,FORELAND,7000,CRETACEOUS,SANDSTONE,1100.0,90.0,13.0,0.1
BERYL,BERYL,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9200,JURASSIC,SANDSTONE,500.0,425.0,17.0,350.0
DJARKUDUK,KYZYLTASH,AFGHANISTAN,FAR EAST,AMU DARYA,COMPRESSION/EVAPORITE,36.6167,65.7,AFGHANGAS,ONSHORE,GAS,REJUVENATING,INTRACRATONIC,6560,CRETACEOUS,SANDSTONE,450.0,89.0,23.0,214.0
HUNTINGTON BEACH,JONES ZONE,USA,NORTH AMERICA,LOS ANGELES,STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,33.6998,-118.0335,NUMEROUS,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,WRENCH,2326,NEOGENE,THINLY-BEDDED SANDSTONE,700.0,375.0,28.0,400.0
SUNNILAND TREND,SUNNILAND LIMESTONE (WEST FELDA FIELD),USA,NORTH AMERICA,FLORIDA/BAHAMAS,EXTENSION,26.2683,-81.3397,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,PASSIVE MARGIN,11364,CRETACEOUS,LIMESTONE,80.0,17.0,15.0,90.0
DURI,BEKASAP (KEDUA-PERTAMA SANDS),INDONESIA,FAR EAST,SUMATRA CENTRAL,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,1.2956,101.2304,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,400,NEOGENE,SANDSTONE,280.0,150.0,34.0,1500.0
LITTLE SAND DRAW,PHOSPHORIA (ERVAY),USA,NORTH AMERICA,BIG HORN,COMPRESSION/EXTENSION/LINKED,43.8,-108.3,CITATION OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5880,PERMIAN,DOLOMITE,100.0,65.0,15.0,2.6
MILLS RANCH,HUNTON (CHIMNEY HILL-HENRYHOUSE),USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,35.3676,-100.0793,CHEVRON,ONSHORE,GAS,NEARLY DEPLETED,THRUST,19888,SILURIAN,DOLOMITE,930.0,94.0,6.0,7.0
ORMEN LANGE,JORSALFARE-VALE (EGGA),NORWAY,EUROPE,MID-NORWAY SHELF,INVERSION/COMPRESSION/EXTENSION,63.541,5.3375,STATOILHYDRO,OFFSHORE,GAS,DEVELOPING,INVERSION/RIFT,5780,CRETACEOUS-PALEOGENE,SANDSTONE,380.0,115.0,29.0,1000.0
DURI,DURI (RINDU SAND),INDONESIA,,,INVERSION/STRIKE-SLIP/TRANSPRESSION/EXTENSION/BASEMENT-I,1.2956,101.2304,CALTEX PACIFIC INDONESIA,ONSHORE,OIL,MATURE PRODUCTION,INVERSION/BACKARC,220,NEOGENE,SANDSTONE,120.0,52.0,32.0,1900.0
AL HUWAISAH,SHUAIBA,OMAN,MIDDLE EAST,FAHUD SALT,COMPRESSION/EVAPORITE,21.9607,56.0452,PDO,ONSHORE,OIL,REJUVENATING,SALT/FORELAND,4955,CRETACEOUS,LIMESTONE,250.0,100.0,21.0,60.0
HAWKINS,WOODBINE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,32.6351,-95.2209,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,3770,CRETACEOUS,SANDSTONE,525.0,300.0,27.0,3400.0
URENGOY,POKUR (PK1-6),RUSSIA,,,COMPRESSION,66.0533,76.9497,TYUMENNEFTEGAZ,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,3514,CRETACEOUS,SANDSTONE,700.0,440.0,30.0,330.0
BERYL,LINNHE,UK,,,EXTENSION/EROSION,59.5498,1.5318,EXXONMOBIL,OFFSHORE,OIL,UNKNOWN,RIFT,9600,JURASSIC,SANDSTONE,300.0,120.0,14.0,100.0
FULLERTON,WICHITA-CLEARFORK,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.388000000000005,-102.803,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,6700,PERMIAN,DOLOMITE,2000.0,150.0,10.0,3.0
BARQUE,LEMAN SANDSTONE,UK,EUROPE,NORTH SEA SOUTHERN,INVERSION/COMPRESSION/EXTENSION/EVAPORITE/GRAVITY,53.6204,,SHELL,OFFSHORE,GAS,DECLINING PRODUCTION,SUB-SALT/INVERSION,6900,PERMIAN,SANDSTONE,750.0,570.0,11.0,0.5
DELTA SOUTH,AGBADA (G3 SAND),NIGERIA,AFRICA,NIGER DELTA,GRAVITY/EXTENSION/SHALE,5.6139,5.1018,CHEVRON,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE MARGIN,8215,NEOGENE,SANDSTONE,130.0,90.0,26.5,2000.0
BRITANNIA,BRITANNIA SANDSTONE,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,58.0824,0.8413,BRITTANIA OPERATOR LIMITED,OFFSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11350,CRETACEOUS,SANDSTONE,275.0,120.0,15.0,40.0
QUITMAN,PALUXY,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/SYNSEDIMENTATION,32.8253,-95.4951,NUMEROUS,ONSHORE,OIL,NEARLY DEPLETED,SALT/PASSIVE MARGIN,6056,CRETACEOUS,SANDSTONE,400.0,35.0,22.0,600.0
JUMPING POUND,TURNER VALLEY,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.1425,-114.5786,SHELL,ONSHORE,GAS,NEARLY DEPLETED,SUB-THRUST/FORELAND,8100,CARBONIFEROUS,DOLOMITE,250.0,140.0,8.3,4.0
KHAFJI,BURGAN,NEUTRAL ZONE,MIDDLE EAST,THE GULF,COMPRESSION/EVAPORITE/EXTENSION/LINKED,28.5333,48.9167,ARABIAN OIL CO,OFFSHORE,OIL,REJUVENATING,FORELAND/SALT,4725,CRETACEOUS,SANDSTONE,650.0,329.0,28.0,4500.0
CHATEAURENARD,GRISELLES,FRANCE,EUROPE,PARIS,EXTENSION,47.9903,2.9619,MADISON /CHART,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1975,CRETACEOUS,SANDSTONE,20.0,7.0,27.0,1000.0
MAXI,SHAHEJIE (BANQIAO),CHINA,FAR EAST,BOHAI,EXTENSION,38.7,117.53,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,RIFT,12425,PALEOGENE,SANDSTONE,755.0,83.0,13.6,11.0
NATIH,NATIH,OMAN,MIDDLE EAST,FAHUD SALT,COMPRESSION/EVAPORITE,22.4333,56.7167,PDO,ONSHORE,OIL,MATURE PRODUCTION,SALT/INVERSION/FORELAND,2433,CRETACEOUS,CHALKY LIMESTONE,1324.0,439.0,19.0,2.6
NATUNA L,TERUMBU,INDONESIA,FAR EAST,NATUNA EAST/SARAWAK,EXTENSION/COMPRESSION,5.4658,109.7833,EXXONMOBIL,OFFSHORE,CARBON DIOXIDE,UNDEVELOPED,BACKARC,8218,NEOGENE,LIMESTONE,5335.0,2976.0,15.0,100.0
CARTHAGE,COTTON VALLEY SANDSTONE,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE,32.1988,-94.2574,NUMEROUS,ONSHORE,GAS,PLATEAU PRODUCTION,PASSIVE MARGIN,8200,JURASSIC,SANDSTONE,1500.0,150.0,7.0,0.04
DRAUGEN,ROGN (VIKING),NORWAY,EUROPE,MID-NORWAY SHELF,EXTENSION/EROSION,64.3656,7.7891,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE MARGIN,4416,JURASSIC,SANDSTONE,100.0,66.0,20.0,6000.0
PRIOB,ACHIMOV-VARTOV,RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,61.13,70.46,YUGANSKNEFTEGAS /SIBNEFT /SURGUTNEFTEGAS,ONSHORE,OIL,CONTINUING DEVELOPMENT,INTRACRATONIC,7677,CRETACEOUS,SANDSTONE,1300.0,140.0,19.0,3.6
SUIZHONG 36-1,DONGYING,CHINA,FAR EAST,BOHAI,EXTENSION,40.0172,120.8541,CNOOC,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,4259,PALEOGENE,SANDSTONE,980.0,160.0,32.0,2600.0
MEANS,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.5066,-102.5313,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,4250,PERMIAN,DOLOMITE,237.0,150.0,10.0,10.0
RIMA,AL KHLATA,OMAN,MIDDLE EAST,SOUTH OMAN SALT,GRAVITY/EVAPORITE/EXTENSION,18.8786,56.3146,PDO,ONSHORE,OIL,UNKNOWN,SALT/RIFT,2973,CARBONIFEROUS-PERMIAN,SANDSTONE,250.0,100.0,25.0,500.0
KUPARUK RIVER,KUPARUK RIVER (UNIT C),USA,NORTH AMERICA,NORTH SLOPE,COMPRESSION/EXTENSION/EROSION,70.34,-149.5375,CONOCOPHILLIPS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,5620,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,35.0,20.0,24.0,138.0
WILBURTON,ARBUCKLE,USA,NORTH AMERICA,ARKOMA,COMPRESSION/EXTENSION,34.8366,-95.3885,BP,ONSHORE,GAS,MATURE PRODUCTION,THRUST/FORELAND,12860,CAMBRIAN-ORDOVICIAN,DOLOMITE,2250.0,250.0,1.1,0.03
THISTLE,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.3833,1.55,DNO,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,7970,JURASSIC,SANDSTONE,475.0,380.0,24.0,1200.0
HALIBUT-COBIA,LATROBE (M1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.3989,148.3164,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,7175,PALEOGENE,SANDSTONE,505.0,120.0,20.0,1600.0
ZAKUM,THAMAMA ZONE III,UAE,MIDDLE EAST,RUB AL KHALI,GRAVITY/EVAPORITE/COMPRESSION,24.8667,53.6833,ADMA /ZADCO,OFFSHORE,OIL,PLATEAU PRODUCTION,SALT/FORELAND,7085,CRETACEOUS,LIMESTONE,537.0,110.0,23.0,15.0
POKACHEV,MEGION (BV8),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,61.583,75.1833,SURGUTNEFTEGAS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,7841,CRETACEOUS,SANDSTONE,75.0,24.0,20.0,130.0
BADR EL DIN-1,BAHARIYA,EGYPT,AFRICA,ABU GHARADIG,EXTENSION,29.8589,28.5229,BAPETCO,ONSHORE,OIL,MATURE PRODUCTION,RIFT,11175,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,115.0,46.0,12.0,15.0
TEMSAH,SIDI SALIM,EGYPT,AFRICA,NILE DELTA,STRIKE-SLIP/TRANSTENSION/SHALE/EVAPORITE/BASEMENT-I,31.84,32.145,IEOC,OFFSHORE,GAS-CONDENSATE,DEVELOPING,WRENCH/DELTA,12390,NEOGENE,SANDSTONE,328.0,131.0,24.5,390.0
BUL HANINE,ARAB D,QATAR,MIDDLE EAST,RUB AL KHALI,GRAVITY/EVAPORITE/COMPRESSION,25.4333,52.7,QATAR PETROLEUM,OFFSHORE,OIL,DECLINING PRODUCTION,SALT/FORELAND,7270,JURASSIC,LIMESTONE,240.0,140.0,23.0,200.0
HOUSE CREEK,SUSSEX,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,43.7456,-105.5703,DEVON ENERGY,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,7863,CRETACEOUS,SANDSTONE,40.0,15.0,13.0,20.0
GRIFFIN,BIRDRONG,AUSTRALIA,FAR EAST,CARNARVON,INVERSION/COMPRESSION/EXTENSION,-21.2356,114.62,BHP BILLITON,OFFSHORE,OIL,DEVELOPING,RIFT,8100,CRETACEOUS,SANDSTONE,115.0,40.0,15.0,30.0
SANTHAL,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION/COMPRESSION/EXTENSION,23.409,72.202,ONGC,ONSHORE,OIL,REJUVENATING,RIFT,2906,PALEOGENE,SANDSTONE,148.0,66.0,28.0,7500.0
LUCKEY DITCH,DAKOTA SANDSTONE (LOWER MEMBER),USA,NORTH AMERICA,GREATER GREEN RIVER,COMPRESSION/EROSION,41.0204,-110.2755,WHITING OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,13250,CRETACEOUS,SANDSTONE,250.0,23.0,14.0,60.0
MIDALE,CHARLES (MIDALE BEDS),CANADA,NORTH AMERICA,WILLISTON,COMPRESSION,49.4701,-103.4717,APACHE,ONSHORE,OIL,SECOND PLATEAU PRODUTION,INTRACRATONIC,4400,CARBONIFEROUS,DOLOMITE,64.0,32.0,20.0,3.5
BAI HASSAN,MAIN LIMESTONE,IRAQ,MIDDLE EAST,ZAGROS,COMPRESSION/EVAPORITE,35.6378,44.0272,INOC,ONSHORE,OIL,REJUVENATING,FORELAND,2450,PALEOGENE-NEOGENE,LIMESTONE,900.0,285.0,20.0,50.0
HUANXILING,SHAHEJIE,CHINA,FAR EAST,BOHAI,EXTENSION,41.0249,121.7667,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,2310,PALEOGENE,SANDSTONE,525.0,127.0,25.0,1400.0
GARRINGTON,CARDIUM (A SAND),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,51.7349,-114.0274,HUDSONS BAY OIL and GAS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5400,CRETACEOUS,SANDSTONE,300.0,2.12,12.0,7.0
SANAND,KALOL (PAYZONE K-III),INDIA,FAR EAST,CAMBAY,INVERSION/COMPRESSION/EXTENSION,23.1,72.417,ONGC,ONSHORE,OIL,SECOND PLATEAU PRODUTION,RIFT/INVERSION,3939,PALEOGENE,SANDSTONE,410.0,20.0,28.0,1000.0
TIN CUP MESA,PARADOX (UPPER ISMAY),USA,NORTH AMERICA,PARADOX,COMPRESSION/EXTENSION/EVAPORITE,37.4211,-109.1333,COCHRANE RESOURCES /PIONEER,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,5430,CARBONIFEROUS,DOLOMITE,60.0,50.0,11.0,2.8
VESLEFRIKK,BRENT,NORWAY,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,60.7984,2.9133,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,8447,JURASSIC,SANDSTONE,427.0,279.0,18.0,800.0
SCAPA,VALHALL (SCAPA SANDSTONE),UK,EUROPE,NORTH SEA CENTRAL,EXTENSION/EROSION,58.427,0.325,TALISMAN,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,7523,CRETACEOUS,THINLY-BEDDED SANDSTONE,400.0,98.0,20.0,250.0
TOLON,NEDZHELIN-TAGANDZHIN-MONOM,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,TRANSPRESSION/UPLIFT,63.75,124.0,YAKUTGASPROM,ONSHORE,GAS,UNDEVELOPED,PASSIVE MARGIN,8200,TRIASSIC,SANDSTONE,1640.0,123.0,17.0,28.0
NINIAN,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION/EROSION,60.8333,1.4333,CNR,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,8480,JURASSIC,SANDSTONE,300.0,200.0,20.0,500.0
COUNTESS,UPPER MANNVILLE (YY POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION/EROSION,50.6174,-112.2057,ENCANA,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3347,CRETACEOUS,SANDSTONE,62.5,18.0,26.0,2500.0
HATTERS POND,NORPHLET,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY/EXTENSION/EVAPORITE/DIAPIR/SYNSEDIMENTATION,30.8976,-88.066,CHEVRON,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,SALT/PASSIVE MARGIN,18050,JURASSIC,SANDSTONE,350.0,200.0,10.4,0.5
NORTHEAST CEDARDALE,HUNTON (HARAGAN),USA,NORTH AMERICA,ANADARKO,COMPRESSION/EROSION,36.4227,-98.9165,LOUIS DREYFUS NATURAL GAS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,8275,DEVONIAN,DOLOMITE,250.0,38.0,16.0,20.0
FLOUNDER,LATROBE (T1.1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION/COMPRESSION/EXTENSION/EROSION,-38.33,148.417,EXXONMOBIL /BHP BILLITON,OFFSHORE,OIL,DECLINING PRODUCTION,INVERSION/RIFT,7677,CRETACEOUS,SANDSTONE,138.0,125.0,20.0,1200.0
HAWK POINT,UPPER MINNELUSA (B SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.0263,-105.5474,NIELSON and ASSOCIATES INC,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,11290,PERMIAN,SANDSTONE,140.0,30.0,13.0,30.0
CABIN CREEK,RED RIVER,USA,NORTH AMERICA,WILLISTON,COMPRESSION,46.5782,-104.4303,SHELL,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,8750,ORDOVICIAN,DOLOMITE,500.0,40.0,13.0,8.0
